QUESTIONS,ANSWERS
"Remove the outside. Cook the inside. Eat the outside. Throw away the inside.",Corn
"This is in a realm of true and in a realm false, but you experience me as you turn and toss.",Dream
"There is an ancient invention. Still used in some parts of the world today. That allows people to see through walls.",Window
"Some live in me, some live on. And some shave me to stride upon. I rarely leave my native land. Until my death I always stand. High and low I may be found. Both above and below ground.",Tree
"Metal or bone I may be, many teeth I have and always bared. Yet my bite harms no one. And ladies delight in my touch.",Comb
"I am a fire's best friend. When fat, my body fills with wind. When pushed to thin, through my nose I blow. Then you can watch the embers glow.",Bellows
"Every dawn begins with me. At dusk I'll be the first you see, and daybreak couldn't come without. What midday centers all about. Daises grow from me, I'm told. And when I come, I end all code, but in the sun I won't be found. Yet still, each day I'll be around.",D
"You heart it speak, for it has a hard tongue. But it cannot breathe, for it has not a lung.",Bell
"I cut through evil like a double edged sword, and chaos flees at my approach. Balance I single-handedly upraise, through battles fought with heart and mind, instead of with my gaze.",Justice
"The eight of us move forth and back. To protect our king from the foes attack.",Pawns
"He has one and a person has two. A citizen has three. And a human being has four. A personality has five. And an inhabitant of earth has six.",Syllable
"If you break me, I do not stop working. If you touch me, I may be snared. If you lose me, nothing will matter.",Heart
"What's in the middle of nowhere?",H
"What force and strength cannot get through. I, with a gentle touch, can do. Many in the street would stand. Were I not a friend at hand.",Key
"Often held but never touched. Always wet but never rusts. Often bits but seldom bit. To use it well you must have wit.",Tongue
"As round as an apple. As deep as a cup. All the king's horses can't pull it up.",Well
"He stands beside the road. In a purple cap at tattered green cloak. Those who touch him, curse him.",Thistle
"Power enough to smash ships and crush roofs. Yet it still must fear the sun.",Ice
"What surrounds the world, yet dwells within a thimble?",Space
"I cannot be other than what I am, until the man who made me dies. Power and glory will fall to me finally. Only when he last closes his eyes.",Prince
"What is it that makes tears without sorrow. And takes its journey to heaven?",Smoke
"Inside a great blue castle lives a shy young maid. She blushes in the morning and comes not out at night.",Sun
"This thing runs but cannot walk, sometimes sings but never talks. Lacks arms, has hands; lacks a head but has a face.",Clock
"A word I know, six letters it contains. Subtract just one and twelve remains.",Dozens
"I go in hard and dry. I come out soft and sticky. You can blow me.",Gum
"I am the yellow hem of the sea's blue skirt.",Beach
"A skin have I, more eyes than one. I can be very nice when I am done.",Potato
"I have four legs but no tail. Usually I am heard only at night.",Frog
"A tiny bead, like fragile glass, strung along a cord of grass.",Dew
"Break it and it is better, immediately set and harder to break again.",Record
"Each morning I appear to lie at your feet, all day I follow no matter how fast you run. Yet I nearly perish in the midday sun.",Shadow
"What do you throw out to use and take in when you're done?",Anchor
"What is it which builds things up? Lays mountains low? Dries up lakes, and makes things grow? Cares not a whim about your passing? And is like few other things, because it is everlasting?",Time
"I am the fountain from which no one can drink. For many I am considered a necessary link. Like gold to all I am sought for, but my continued death brings wealth for all to want more.",Oil
"Sleeping during the day, I hide away. Watchful through the night, I open at dawn's light. But only for the briefest time, do I shine. And then I hide away. And sleep through the day.",Sunrise
"A seed am I, three letters make my name. Take away two and I still sound the same.",Pea
"In the middle of night, I surround the gong. In the middle of sight, I end the song.",G
"Look into my face and I'm everybody. Scratch my back and I'm nobody.",Mirror
"Two brothers we are, great burdens we bear. All day we are bitterly pressed. Yet this I will say, we are full all the day, and empty when go to rest.",Boots
"They can be harbored, but few hold water. You can nurse them, but only by holding them against someone else. You can carry them, but not with your arms. You can bury them, but not in the earth.",Grudge
"What is it that was given to you, belongs only to you. And yet your friends use it more than you do?",Name
"By Moon or by Sun, I shall be found. Yet I am undone, if there's no light around.",Shadow
"What do you use to hoe a row, slay a foe, and wring with woe?",Hands
"We travel much, yet prisoners are, and close confined to boot. Yet with any horse, we will keep the pace, and will always go on foot.",Spurs
"Without a bridle, or a saddle, across a thing I ride a-straddle. And those I ride, by help of me, though almost blind, are made to see.",Glasses
"I fly through the air on small feathered wings, seeking out life and destroying all things.",Arrow
"I am the red tongue of the earth, that buries cities.",Lava
"I look at you, you look at me, I raise my right, you raise your left.",Mirror
"What is the thing which, once poured out, cannot be gathered again?",Rain
"It is a part of us, and then replaced. It escapes out bodies, to a better place. The world becomes its sizeable home. Its passions unrestraint, the planet it roams.",Water
"What word starts with 'E', ends with 'E', but only has one letter? It is not the letter 'E'.",Envelope
"A hole in a pole, though I fill a hole in white. I'm used more by the day, and less by the night.",Eye
"I fly, yet I have no wings. I cry, yet I have no eyes. Darkness follows me. Lower light I never see.",Cloud
"I'm full of holes, yet I'm full of water.",Sponge
"Long and slinky like a trout, never sings till it's guts come out.",Gun
"What animal keeps the best time?",Watchdog
"What kind of room has no windows or doors?",Mushroom
"I have legs but walk not, a strong back but work not. Two good arms but reach not. A seat but sit and tarry not.",Chair
"It's in your hand though you can not feel it. Only you and time can reveal it.",Fate
"Not born, but from a Mother's body drawn. I hang until half of me is gone. I sleep in a cave until I grow old. Then valued for my hardened gold.",Cheese
"I am the outstretched fingers that seize and hold the wind. Wisdom flows from me in other hands. Upon me are sweet dreams dreamt, my merest touch brings laughter.",Feather
"Hands she has but does not hold. Teeth she has but does not bite. Feet she has but they are cold. Eyes she has but without sight.",Doll
"Only two backbones and thousands of ribs.",Railroad
"Hard iron on horse. Cow's hide on man.",Shoe
"What word is the same written forward, backward and upside down?",Noon
"I cannot be felt, seen or touched. Yet I can be found in everybody. My existence is always in debate. Yet I have my own style of music.",Soul
"I am seen in the water. If seen in the sky, I am in the rainbow, a jay's feather, and lapis lazuli.",Blue
"You use it between your head and your toes, the more it works the thinner it grows.",Soap
"Fatherless and motherless. Born without sin, roared when it came into the world. And never spoke again.",Thunder
"Where can you find roads without cars, forests without trees and cities without houses?",Map
"A leathery snake, with a stinging bite. I'll stay coiled up, unless I must fight.",Whip
"Take one out and scratch my head, I am now black but once was red.",Match
"Mountains will crumble and temples will fall. And no man can survive its endless call.",Time
"What has wings, but can not fly. Is enclosed, but can outside also lie. Can open itself up, or close itself away. Is the place of kings and queens and doggerel of every means. What is it upon which I stand? Which can lead us to different lands.",Stage
"I'm the source of all emotion, but I'm caged in a white prison.",Heart
"I am the tool, for inspiring many. Buy me in the store, for not much more than a penny. Don't overuse me, or my usefulness will go.",Pen
"What goes through a door but never goes in. And never comes out?",Keyhole
"What goes up when the rain comes down?",Umbrella
"I occur twice in eternity. And I'm always within sight.",T
"Twigs and spheres and poles and plates. Join and bind to reason make.",Skeleton
"The sun bakes them, the hand breaks them, the foot treads on them, and the mouth tastes them.",Grapes
"I have many feathers to help me fly. I have a body and head, but I'm not alive. It is your strength which determines how far I go. You can hold me in your hand, but I'm never thrown.",Arrow
"What's black when you get it, red when you use it, and white when you're all through with it?",Charcoal
"What has four legs in the morning, two legs in the afternoon, and three legs in the evening?",Man
"Take off my skin, I won't cry, but you will.",Onion
"Hold the tail, while I fish for you.",Net
"I am so simple that I can only point. Yet I guide men all over the world.",Compass
"Iron roof, glass walls, burns and burns and never falls.",Lantern
"Late afternoons I often bathe. I'll soak in water piping hot. My essence goes through. My see through clothes. Used up am I - I've gone to pot.",Teabag
"What can't you see, hear or feel, until its too late. What shadows love, and shopkeepers hate?",Thief
"What can bring back the dead. Make us cry, make us laugh, make us young. Born in an instant yet lasts a life time?",Memory
"I have a neck but no head. I have a body but no arm. I have a bottom but no leg.",Bottle
"A thousand colored folds stretch toward the sky. Atop a tender strand, rising from the land, until killed by maiden's hand. Perhaps a token of love, perhaps to say goodbye.",Flower
"Gold in a leather bag, swinging on a tree, money after honey in its time. Ills of a scurvy crew cured by the sea, reason in its season but no rhyme.",Orange
"A slow, solemn square-dance of warriors feinting. One by one they fall, warriors fainting, thirty-two on sixty-four.",Chess
"He has married many women but has never married.",Priest
"In your fire you hear me scream, creaking and whining, yet I am dead before you lay me in your hearth.",Log
"I weaken all men for hours each day. I show you strange visions while you are away. I take you by night, by day take you back. None suffer to have me, but do from my lack.",Sleep
"I saw a strange creature. Long, hard, and straight, thrusting into a round, dark opening. Preparing to discharge its load of lives. Puffing and squealing noises accompanied it, then a final screech as it slowed and stopped.",Train
"Large as a mountain, small as a pea, endlessly swimming in a waterless sea.",Asteroid
"I do not breathe, but I run and jump. I do not eat, but I swim and stretch. I do not drink, but I sleep and stand. I do not think, but I grow and play. I do not see, but you see me everyday.",Leg
"When liquid splashes me, none seeps through. When I am moved a lot, liquid I spew. When I am hit, color I change. And color, I come in quite a range. What I cover is very complex, and I am very easy to flex.",Skin
"Give it food and it will live, give it water and it will die.",Fire
"A nut cracker up in a tree.",Squirrel
"What happens every second, minute, month, and century. But not every hour, week, year, or decade?",N
"It has no top or bottom, but it can hold flesh, bones, and blood all at the same time.",Ring
"I am free for the taking. Through all of your life, though given but once at birth. I am less than nothing in weight, but will fell the strongest of you if held.",Breath
"My first is in blood and also in battle. My second is in acorn, oak, and apple. My third and fourth are both the same. In the center of sorrow and twice in refrain. My fifth starts eternity ending here. My last is the first of last, Oh Dear.",Barrel
"When I'm metal or wood, I help you get home. When I'm flesh and I'm blood. In the darkness I roam.",Bat
"I march before armies, a thousand salute me. My fall can bring victory, but no one would shoot me. The wind is my lover, one-legged am I. Name me and see me at home in the sky.",Flag
"Tool of thief, toy of queen. Always used to be unseen. Sign of joy, sign of sorrow. Giving all likeness borrowed.",Mask
"What five-letter word becomes shorter when you add two more letters?",Short
"What is pronounced like one letter, written with three letters. And belongs to all animals?",Eye
"What is it that given one, you'll have either two or none?",Choice
"It is greater than God and more evil than the devil. The poor have it, the rich need it, and if you eat it you'll die.",Nothing
"What gets bigger the more you take away from it?",Hole
"The more of it there is, the less you see.",Darkness
"To cross the water I'm the way, for water I'm above. I touch it not and, truth to say, I neither swim nor move.",Bridge
"As beautiful as the setting sun, as delicate as the morning dew. An angel's dusting from the stars. That can turn the Earth into a frosted moon.",Snow
"When set loose I fly away. Never so cursed as when I go astray.",Fart
"How far will a blind dog walk into a forest?",Halfway
"My first is in wield, sever bones and marrow. My second is in blade, forged in cold steel. My third is an arbalest, and also in arrows. My fourth is in power, plunged through a shield. My fifth is in honor, and also in vows. My last will put an end to it all.",Weapon
"Face with a tree, skin like the sea. A great beast I am. Yet vermin frightens me.",Elephant
"I sleep by day, I fly by night. I have no feathers to aid my flight.",Bat
"I am mother and father, but never birth or nurse. I'm rarely still, but I never wander.",Tree
"What goes in the water red, and comes out black?",Iron
"Grows from the ground, bushes and grass, leaves of yellow, red and brow, unruly plants, get the axe, trim the hedge back down.",Hair
"What can touch someone once and last them a life time?",Love
"A dragons tooth in a mortals hand, I kill, I maim, I divide the land.",Sword
"You will find me with four legs, but no hair. People ride me for hours, but I don't go anywhere without needing to be tugged. Jerked or turned on, I always manage to be ready for work.",Desk
"No sooner spoken than broken.",Silence
"Though desert men once called me God, today men call me mad. For I wag my tail when I am angry. And growl when I am glad.",Cat
"An open ended barrel, it is shaped like a hive. It is filled with the flesh, and the flesh is alive.",Thimble
"What kind of pet always stays on the floor?",Carpet
"What flies without wings? What passes all things? What mends all sorrow? What brings the morrow?",Time
"What has a neck and no head, two arms but no hands?",Shirt
"Two in a corner, one in a room, none in a house, but one in a shelter.",R
"What does no man want, yet no man want to lose?",Work
"I am the heart that does not beat. If cut, I bleed without blood. I can fly, but have no wings. I can float, but have no fins. I can sing, but have no mouth.",Wood
"Weight in my belly, trees on my back, nails in my ribs, feet I do lack.",Boat
"What is that over the head and under the hat?",Hair
"I bind it and it walks. I loose it and it stops.",Sandal
"My voice is tender, my waist is slender and I'm often invited to play. Yet wherever I go, I must take my bow or else I have nothing to say.",Violin
"Lovely and round, I shine with pale light, grown in the darkness, a lady's delight.",Pearl
"The strangest creature you'll ever find has two eyes in front and a hundred behind.",Peacock
"A little pool with two layers of wall around it. One white and soft and the other dark and hard. Amidst a light brown grassy lawn with an outline of a green grass.",Coconut
"I open wide and tight I shut, Sharp am I and paper-cut fingers too, so do take care, I'm good and bad, so best beware.",Scissors
"Only one color, but not one size. Stuck at the bottom, yet easily flies. Present in sun, but not in rain. Doing no harm, and feeling no pain.",Shadow
"A house of wood in a hidden place. Built without nails or glue. High above the earthen ground. It holds pale gems of blue.",Nest
"Who spends the day at the window, goes to the table for meals. And hides at night?",Fly
"The beginning of eternity, the end of time and space, the beginning of every end, the end of every place.",E
"Always old, sometimes new. Never sad, sometimes blue. Never empty, sometimes full. Never pushes, always pulls.",Moon
"I bubble and laugh and spit water in your face. I am no lady, and I don't wear lace.",Fountain
"My teeth are sharp, my back is straight, to cut things up it is my fate.",Saw
"I love to dance and twist and prance. I shake my tail, as away I sail. Wingless I fly into the sky.",Kite
"I usually wear a yellow coat. I usually have a dark head. I make marks wherever I go.",Pencil
"My life is often a volume of grief, your help is needed to turn a new leaf. Stiff is my spine and my body is pale. But I'm always ready to tell a tale.",Book
"I cost no money to use, or conscious effort to take part of. And as far as you can see, there is nothing to me. But without me, you are dead.",Air
"Soldiers line up spaced with pride. Two long rows lined side by side. One sole unit can decide, if the rows will unit or divide.",Zipper
"What measures out time. Until in time all is smashed to it?",Sand
"I turn around once. What is out will not get in. I turn around again. What is in will not get out.",Key
"Who is he that runs without a leg. And his house on his back?",Snail
"When the day after tomorrow is yesterday. Today will be as far from Wednesday. As today was from Wednesday. When the day before yesterday was tomorrow. What is the day after this day?",Thursday
"What has roots as nobody sees, is taller than trees. Up, up it goes, and yet never grows?",Mountain
"Come up and let us go. Go down and here we stay.",Anchor
"They have not flesh, nor feathers, nor scales, nor bone. Yet they have fingers and thumbs of their own.",Gloves
"Long slim and slender. Dark as homemade thunder. Keen eyes and peaked nose. Scares the Devil wherever it goes.",Snake
"What is put on a table, cut, but never eaten?",Deck
"The sharp slim blade, that cuts the wind.",Grass
"Although my cow is dead, I still beat her What a racket she makes.",Drum
"It sat upon a willow tree, and sang softly unto me. Easing my pain and sorrow with its song. I wished to fly, but tarried long. And in my suffering, the willow was like a cool clear spring. What was it that helped me so? To spend my time in my woe.",Bird
"I have four wings but cannot fly. I never laugh and never cry. On the same spot always found, toiling away with little sound.",Windmill
"I am never quite what I appear to be. Straight-forward I seem, but it's only skin deep. For mystery most often lies beneath my simple speech. Sharpen your wits, open your eyes, look beyond my exteriors, read me backwards, forwards, upside down. Think and answer the question...What am I?",Riddle
"All about the house, with his lady he dances, yet he always works, and never romances.",Broom
"I walked and walked and at last I got it. I didn't want it. So I stopped and looked for it. When I found it, I threw it away.",Thorn
"Two in a whole and four in a pair. And six in a trio you see. And eight's a quartet but what you must get. Is the name that fits just one of me?",Half
"I drive men mad for love of me. Easily beaten, never free.",Gold
"I go around in circles, but always straight ahead. Never complain, no matter where I am led.",Wheel
"You use a knife to slice my head. And weep beside me when I am dead.",Onion
"Turns us on our backs, and open up our stomachs. You will be the wisest of men though at start a lummox.",Books
"Thousands lay up gold within this house. But no man made it. Spears past counting guard this house, but no man wards it.",Beehive
"What goes around the world and stays in a corner?",Stamp
"What has to be broken before it can be used?",Egg
"Creatures of power, creatures of grade, creatures of beauty, creatures of strength. As for their lives, they set everything's pace. For all things must come to live. Under their emerald embraceEither in their life or in their death.",Trees
"Double my number, I'm less than a score. Half of my number is less than four. Add one to my double when bakers are near. Days of the week are still greater, I fear.",Six
"In buckles or lace, they help set the pace. The farther you go, the thinner they grow.",Shoes
"When young, I am sweet in the sun. When middle-aged, I make you gay. When old, I am valued more than ever.",Wine
"Forward I'm heavy, but backwards I'm not.",Ton
"Hard to catch, easy to hold. Can't be seen, unless it's cold.",Breath
"I am two-faced but bear only one. I have no legs but travel widely. Men spill much blood over me. Kings leave their imprint on me. I have greatest power when given away, yet lust for me keeps me locked away.",Coin
"Two little holes in the side of a hill. Just as you come to the cherry-red mill.",Nose
"When you stop and look, you can always see me. If you try to touch, you cannot feel me. I cannot move, but as you near me, I will move away from you.",Horizon
"A dagger thrust at my own heart, dictates the way I'm swayed. Left I stand, and right I yield, to the twisting of the blade.",Lock
"What instrument can make any sound and be heart, but not touched or seen?",Voice
"What goes further the slower it goes?",Money
"I can run but not walk. Wherever I go, thought follows close behind.",Nose
"Used left or right, I get to travel over cobblestone or gravel. Used up, I vie for sweet success, used down, I cause men great duress.",Thumb
"What goes through the door without pinching itself? What sits on the stove without burning itself? What sits on the table and is not ashamed?",Sun
"The moon is my father. The sea is my mother. I have a million brothers. I die when I reach land.",Wave
"What always goes to bed with his shoes on?",Horse
"My thunder comes before the lightning. My lightning comes before the clouds. My rain dries all the land it touches.",Volcano
"My love, when I gaze on thy beautiful face. Careering along, yet always in place, the thought has often come into my mind. If I ever shall see thy glorious behind.",Moon
"What starts with a 'T', ends with a 'T', and has T in it?",Teapot
"Today he is there to trip you up. And he will torture you tomorrow. Yet he is also there to ease the pain, when you are lost in grief and sorrow.",Alcohol
"I can be moved. I can be rolled. But nothing will I hold. I'm red and I'm blue, and I can be other colors too. Having no head, though similar in shape. I have no eyes - yet move all over the place.",Ball
"Inside a burning house, this thing is best to make. And best to make it quickly, before the fire's too much to take.",Haste
"What is round as a dishpan, deep as a tub, and still the oceans couldn't fill it up?",Sieve
"My first is in some but not in all. My second is into but not in tall. My third in little but no in big. My fourth in port but not in pig. My whole is made in nature's way. For clothing, rugs used every day.",Silk
"Gets rid of bad ones, short and tall. Tightens when used, one size fits all.",Noose
"What gets wetter the more it dries.",Towel
"A little house full of meat, no door to go in and eat.",Nut
"A beggar's brother went out to sea and drowned. But the man who drowned had no brother. Who was the beggar to the man who drowned?",Sister
"I can be written, I can be spoken, I can be exposed, I can be broken.",News
"A horrid monster hides from the day, with many legs and many eyes. With silver chains it catches prey. And eats it all before it dies. Yet in every cottage does it stay. And every castle beneath the sky.",Spider
"Five hundred begins it, five hundred ends it. Five in the middle is seen. First of all figures, the first of all letters. Take up their stations between. Join all together, and then you will bring before you the name of an eminent king.",David
"Tall in the morning, short at noon, gone at night. But I'll be back soon.",Shadow
"In the night a mountain, in the morning a meadow.",Bed
"What can be heard and caught but never seen?",Remark
"I can sizzle like bacon, I am made with an egg. I have plenty of backbone, but lack a good leg. I peel layers like onions, but still remain whole. I can be long, like a flagpole, yet fit in a hole.",Snake
"If a man carried my burden, he would break his back. I am not rich, but leave silver in my track.",Snail
"High born, my touch is gentle. Purest white is my lace. Silence is my kingdom. Green is the color of my death.",Snow
"You heard me before, yet you hear me again, then I die. Until you call me again.",Echo
"What wears a coat in the winter and pants in the summer?",Dog
"I'm not really more than holes tied to more holes. I'm strong as good steel, though not as stiff as a pole.",Chain
"I am the third from a sparkle bright, I thrive throughout the day and night. Deep in the path of a cows white drink. I've had thousands of millions of years to think. But one of my creatures is killing me. And so the question I ask to thee, is who am I?",Earth
"Up on high I wave away but not a word can I say.",Flag
"I am whole but incomplete. I have no eyes, yet I see. You can see, and see right through me. My largest part is one fourth of what I once was.",Skeleton
"They're up near the sky, on something very tall. Sometimes they die, only then do they fall.",Leaves
"Toss me out of the window. You'll find a grieving wife. Pull me back but through the door, and watch someone give life.",N
"A time when they're green. A time when they're brown. But both of these times, cause me to frown. But just in between, for a very short while. They're perfect and yellow. And cause me to smile.",Bananas
"I build up castles. I tear down mountains. I make some men blind. I help others to see.",Sand
"Round as a button, deep as a well. If you want me to talk, you must first pull my tail.",Bell
"A house with two occupants, sometimes one, rarely three. Break the walls, eat the boarders, then throw away me.",Peanut
"My first master has four legs, my second master has two. My first I serve in life, my second I serve in death. Tough I am, yet soft beside. Against ladies cheeks I often reside.",Fur
"I have one eye. See near and far. I hold the moments you treasure and the things that make you weep.",Camera
"There are two meanings to me. With one I may need to be broken, with the other I hold on. My favorite characteristic is my charming dimple.",Tie
"With sharp edged wit and pointed poise. It can settle disputes without making a noise.",Sword
"Lighter than what I am made of, more of me is hidden than is seen. I am the bane of the mariner. A tooth within the sea.",Iceberg
"I have one, you have one. If you remove the first letter, a bit remains. If you remove the second, bit still remains. If you remove the third, it still remains.",Habit
"Kings and queens may cling to power. And the jester's got his call. But, as you may all discover. The common one outranks them all.",Ace
"Glittering points that downward thrust. Sparkling spears that never rust.",Icicles
"My first is in fish but no in snail. My second is in rabbit but no in tail. My third is in up but not in down. My fourth is in tiara but not in crown. My fifth is in tree you plainly see. My whole a food for you and me.",Fruit
"What I am filled, I can point the way. When I am empty. Nothing moves me. I have two skins. One without and one within.",Gloves
"My first is in window but not in pane. My second's in road but not in lane. My third is in oval but not in round. My fourth is in hearing but not in sound. My whole is known as a sign of peace. And from noah's ark won quick release.",Dove
"If you drop me I'm sure to crack. But give me a smile and I'll always smile back.",Mirror
"I make you weak at the worst of all times. I keep you safe, I keep you fine. I make your hands sweat. And your heart grow cold. I visit the weak, but seldom the bold.",Fear
"I run through hills. I veer around mountains. I leap over rivers. And crawl through the forests. Step out your door to find me.",Road
"You can see nothing else when you look in my face. I will look you in the eye and I will never lie.",Mirror
"I have split the one into five. I am the circle that few will spy. I am the path that breaks and gives. I am the bow no man may bend.",Rainbow
"A harvest sown and reaped on the same day in an unplowed field. Which increases without growing, remains whole though it is eaten within and without. Is useless and yet the staple of nations.",War
"Snake coiled round and round. Snake deep below the ground. Snake that's never had a head. Snake that binds but not with dread.",Rope
"My first is in ocean but never in sea. My second's in wasp but never in bee. My third is in glider and also in flight. My whole is a creature that comes out at night.",Owl
"Dies half its life. Lives the rest. Dances without music. Breathes without breath.",Tree
"What runs around all day. Then lies under the bed. With its tongue hanging out?",Shoe
"It's true I bring serenity. And hang around the stars. But yet I live in misery, you'll find me behind bars. With thieves and villains I consort. In prison I'll be found. But I would never go to court. Unless there's more than one.",S
"You must keep this thing. Its loss will affect your brothers. For once yours is lost, it will soon be lost by others.",Temper
"What can you catch but not throw?",Cold
"Black we are and much admired. Men seek us if they are tired. We tire the horse, comfort man. Guess this riddle if you can.",Coal
"I have a face, yet no senses. But I don't really care, because time is of the essence.",Clock
"If you have it, you want to share it. If you share it, you don't have it.",Secret
"There is one in every corner and two in every room.",O
"It comes only before, it comes only after. Rises only in darkness, but rises only in light. It is always the same, but is yet always different.",Moon
"As soft as silk, as white as milk, as bitter as gall, a thick green wall, and a green coat covers me all.",Walnut
"We are little airy creatures, all of different voice and features, one of us in glass is set. One of us you'll find in jet. Another you may see in tin. And the fourth a box within. If the fifth you should pursue, it can never fly from you.",Vowels
"Three little letters. A paradox to some. The worse that it is, the better it becomes.",Pun
"Almost everyone needs it, asks for it, gives it. But almost nobody takes it.",Advice
"Different lights do make me strange, thus into different sizes I will change.",Pupil
"Ten men's strength, ten men's length. Ten men can't break it, yet a young boy walks off with it.",Rope
"Some try to hide, some try to cheat. But time will show, we always will meet. Try as you might, to guess my name. I promise you'll know, when you I do claim.",Death
"I'm a god. I'm a planet. I measure heat.",Mercury
"I'm white, I'm round, but not always around. Sometimes you see me, sometimes you don't.",Moon
"People are hired to get rid of me. I'm often hiding under your bed. In time I'll always return you see. Bite me and you're surely dead.",Dust
"Die without me, never thank me. Walk right through me, never feel me. Always watching, never speaking. Always lurking, never seen.",Air
"White bird, featherless, flying out of paradise. Flying over sea and land. Dying in my hand.",Snow
"My life can be measured in hours. I serve by being devoured. Thin, I am quick. Fat, I am slow. Wind is my foe.",Candle
"What goes up but never comes down?",Age
"We are all around, yet to us you are half blind. Sunlight makes us invisible, and difficult to find.",Stars
